type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.276070000,8.851420000,515.0,-0.9,4.343,1.85,,
T,48.276070000,8.851390000,515.0,-0.7,4.345,2.23,,
T,48.276240000,8.851350000,515.0,-0.0,4.364,19.14,,
T,48.276320000,8.851290000,515.0,0.0,4.374,9.95,,
T,48.276420000,8.851270000,515.0,0.4,4.386,11.22,,
T,48.277620000,8.851070000,515.0,-0.0,4.520,134.26,,
T,48.277770000,8.851060000,515.0,0.0,4.537,16.70,,
T,48.277910000,8.851110000,515.0,0.0,4.553,16.00,,
T,48.278410000,8.851040000,515.2,0.4,4.608,55.84,,
T,48.278570000,8.850970000,515.4,1.2,4.627,18.53,,
T,48.278690000,8.850960000,515.2,-1.8,4.640,13.36,,
T,48.278860000,8.850970000,514.6,-3.0,4.659,18.92,,
T,48.279180000,8.850950000,514.4,-0.4,4.695,35.61,,
T,48.279330000,8.850950000,514.7,1.4,4.712,16.68,,
T,48.279510000,8.850950000,514.6,-0.3,4.732,20.02,,
T,48.279510000,8.850960000,514.7,9.7,4.732,0.74,,
T,48.279650000,8.851020000,514.6,-0.4,4.748,16.19,,
T,48.279790000,8.851140000,514.3,-1.7,4.766,17.94,,
T,48.279830000,8.851190000,513.9,-6.0,4.772,5.79,,
T,48.279830000,8.851190000,513.9,,4.772,0.00,,
T,48.279870000,8.851290000,513.7,-2.3,4.781,8.65,,
T,48.279920000,8.851380000,513.6,-2.2,4.790,8.69,,
T,48.279970000,8.851320000,513.0,-7.8,4.797,7.12,,
T,48.280140000,8.851150000,512.1,-3.8,4.819,22.73,,
T,48.280220000,8.851070000,512.0,-1.6,4.830,10.70,,
