type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.275900000,8.851370000,514.9,3.7,1.566,2.97,,
T,48.275910000,8.851420000,515.1,3.4,1.570,3.87,,
T,48.275910000,8.851430000,515.1,3.5,1.570,0.74,,
T,48.275920000,8.851450000,515.2,2.4,1.572,1.85,,
T,48.275930000,8.851470000,515.2,2.1,1.574,1.85,,
T,48.275940000,8.851480000,515.2,0.9,1.576,1.34,,
T,48.275950000,8.851490000,515.2,0.7,1.577,1.34,,
T,48.275970000,8.851490000,515.2,-1.2,1.579,2.22,,
T,48.275990000,8.851490000,515.2,-1.2,1.581,2.22,,
T,48.276020000,8.851480000,515.1,-1.5,1.585,3.42,,
T,48.276030000,8.851470000,515.1,-1.7,1.586,1.34,,
T,48.276050000,8.851460000,515.1,-1.2,1.588,2.34,,
T,48.276050000,8.851450000,515.0,-1.1,1.589,0.74,,
T,48.276060000,8.851440000,515.0,-1.0,1.590,1.34,,
T,48.276070000,8.851420000,515.0,-0.9,1.592,1.85,,
T,48.276070000,8.851390000,515.0,-0.7,1.595,2.23,,
T,48.276240000,8.851350000,515.0,-0.0,1.614,19.14,,
T,48.276320000,8.851290000,515.0,0.0,1.624,9.95,,
T,48.276420000,8.851270000,515.0,0.4,1.635,11.22,,
T,48.277620000,8.851070000,515.0,-0.0,1.769,134.26,,
T,48.277770000,8.851060000,515.0,0.0,1.786,16.70,,
T,48.277770000,8.851060000,515.0,,1.786,0.00,,
T,48.277910000,8.851110000,515.0,0.0,1.802,16.00,,
T,48.277900000,8.850980000,515.0,0.0,1.812,9.71,,
T,48.277900000,8.850820000,515.0,0.2,1.823,11.88,,
T,48.277880000,8.850730000,515.1,1.6,1.830,7.04,,
T,48.277880000,8.850730000,515.1,,1.830,0.00,,
T,48.278340000,8.850720000,515.4,0.5,1.882,51.16,,
