type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"W,48.279394400,8.850950700,514.8,,,,""48.2793944,8.8509507"",""Balingen, 72336 Balingen, Deutschland"""
"W,48.279450000,8.850716000,513.6,,,,""Bahnhof/Busbahnhof, Balingen"","

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"T,48.279390000,8.850950000,514.8,,0.000,,""Balingen - Bahnhof/Busbahnhof, Balingen"",""10.3 km, 0:23"""
T,48.274910000,8.874400000,581.9,-6.2,4.062,22.30,,
T,48.274950000,8.874630000,581.2,-3.5,4.080,17.64,,
T,48.275000000,8.874900000,581.0,-1.2,4.101,20.80,,
T,48.275030000,8.875050000,581.2,1.9,4.112,11.62,,
T,48.275040000,8.875270000,581.3,0.4,4.129,16.37,,
T,48.275040000,8.875520000,580.4,-4.7,4.147,18.56,,
T,48.275010000,8.875710000,580.0,-2.6,4.162,14.49,,
T,48.275000000,8.875760000,580.0,-0.8,4.166,3.87,,
T,48.274960000,8.875880000,579.8,-1.7,4.175,9.96,,
T,48.274750000,8.876490000,577.7,-4.2,4.226,50.95,,
T,48.274630000,8.876780000,576.5,-4.5,4.252,25.33,,
T,48.274560000,8.877060000,576.1,-2.1,4.274,22.19,,
T,48.274530000,8.877230000,576.3,1.6,4.287,13.05,,
T,48.274510000,8.877560000,575.0,-5.1,4.312,24.60,,
T,48.274510000,8.877590000,574.9,-4.8,4.314,2.23,,
T,48.274500000,8.877970000,573.1,-6.4,4.342,28.23,,
T,48.274490000,8.878370000,572.0,-3.6,4.372,29.71,,
T,48.274490000,8.878620000,571.1,-4.8,4.390,18.56,,
T,48.274460000,8.878880000,570.1,-5.3,4.410,19.59,,
T,48.274420000,8.879150000,570.0,-0.4,4.430,20.53,,
T,48.274390000,8.879300000,569.9,-0.9,4.442,11.62,,
T,48.274360000,8.879420000,569.7,-1.9,4.452,9.51,,
T,48.274290000,8.879680000,568.2,-7.2,4.472,20.81,,
T,48.274290000,8.879680000,568.2,,4.472,0.00,,
T,48.274250000,8.879750000,567.9,-4.2,4.479,6.84,,
T,48.274320000,8.879850000,567.8,-1.3,4.490,10.76,,
T,48.274330000,8.879860000,567.8,0.1,4.491,1.34,,
T,48.274390000,8.879960000,567.8,0.4,4.501,9.98,,
T,48.274430000,8.880060000,567.7,-1.2,4.510,8.65,,
T,48.274430000,8.880070000,567.7,-4.8,4.511,0.74,,
T,48.274470000,8.880190000,567.4,-2.6,4.521,9.96,,
T,48.274490000,8.880280000,567.1,-4.1,4.528,7.04,,
T,48.274500000,8.880310000,567.0,-6.3,4.530,2.49,,
T,48.274510000,8.880390000,566.5,-7.7,4.536,6.04,,
T,48.274530000,8.880430000,566.4,-3.8,4.540,3.71,,
T,48.274540000,8.880470000,566.2,-5.8,4.543,3.17,,
T,48.274580000,8.880660000,565.2,-6.5,4.558,14.79,,
T,48.274630000,8.880950000,563.0,-10.3,4.580,22.23,,
T,48.274670000,8.881130000,561.6,-9.5,4.594,14.08,,
T,48.274750000,8.881340000,561.8,0.7,4.612,17.95,,
T,48.274760000,8.881370000,561.8,2.2,4.615,2.49,,
T,48.274810000,8.881480000,561.8,-0.1,4.625,9.88,,
T,48.274830000,8.881540000,561.7,-1.4,4.630,4.98,,
T,48.274860000,8.881590000,561.5,-4.5,4.634,4.99,,
T,48.274920000,8.881860000,561.6,0.2,4.656,21.12,,
T,48.274950000,8.882000000,561.8,2.0,4.667,10.91,,
T,48.274960000,8.882110000,562.1,4.1,4.675,8.24,,
T,48.274970000,8.882180000,562.3,2.8,4.680,5.31,,
T,48.274990000,8.882320000,562.5,2.2,4.691,10.63,,
T,48.275010000,8.882520000,563.1,4.3,4.706,15.01,,
T,48.275050000,8.882720000,564.4,8.4,4.721,15.50,,
T,48.275090000,8.882910000,565.2,4.8,4.736,14.79,,
T,48.275170000,8.883280000,565.7,1.9,4.765,28.87,,
