type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.012110000,8.353720000,109.9,-6.2,5.093,11.96,,
T,49.012240000,8.353640000,109.1,-5.2,5.108,15.60,,
T,49.012280000,8.353620000,108.8,-6.2,5.113,4.68,,
T,49.012400000,8.353530000,108.3,-4.0,5.128,14.88,,
T,49.012640000,8.353340000,108.5,0.8,5.158,30.09,,
T,49.012780000,8.353250000,109.3,4.9,5.175,16.90,,
T,49.012970000,8.353120000,111.7,10.2,5.198,23.17,,
T,49.013110000,8.353060000,113.2,9.2,5.214,16.18,,
T,49.013270000,8.353020000,113.8,3.4,5.232,18.03,,
T,49.013530000,8.352970000,112.1,-5.6,5.261,29.15,,
T,49.013530000,8.352970000,112.1,,5.261,0.00,,
T,49.013670000,8.353010000,111.5,-4.3,5.277,15.84,,
T,49.013730000,8.353030000,111.4,-1.1,5.284,6.83,,
T,49.013750000,8.352970000,110.9,-10.2,5.289,4.92,,
T,49.013800000,8.352720000,108.9,-10.4,5.308,19.11,,
T,49.013940000,8.352150000,106.6,-5.2,5.353,44.51,,
T,49.014110000,8.351540000,109.6,6.2,5.401,48.46,,
T,49.014160000,8.351350000,110.3,4.7,5.416,14.97,,
T,49.014270000,8.350980000,111.5,4.0,5.446,29.70,,
T,49.014280000,8.350940000,111.3,-3.5,5.449,3.13,,
T,49.014360000,8.350670000,110.4,-4.2,5.470,21.66,,
T,49.014370000,8.350630000,110.3,-2.8,5.474,3.13,,
T,49.014430000,8.350420000,109.6,-4.6,5.490,16.75,,
T,49.014500000,8.350160000,108.5,-5.4,5.511,20.55,,
T,49.014680000,8.349540000,107.3,-2.3,5.560,49.57,,
T,49.014710000,8.349420000,107.0,-3.7,5.570,9.39,,
T,49.014810000,8.349080000,107.1,0.4,5.597,27.24,,
T,49.014940000,8.348650000,106.9,-0.6,5.632,34.62,,
T,49.014970000,8.348530000,106.6,-2.8,5.641,9.39,,
T,49.015110000,8.347990000,106.9,0.6,5.684,42.46,,
T,49.015120000,8.347940000,106.8,-2.3,5.687,3.82,,
T,49.015130000,8.347840000,106.6,-2.5,5.695,7.40,,
T,49.015170000,8.347560000,105.3,-6.4,5.716,20.96,,
T,49.015180000,8.347410000,104.8,-4.8,5.727,11.03,,
T,49.015190000,8.347260000,104.5,-2.9,5.738,11.03,,
T,49.015190000,8.347250000,104.4,-3.1,5.739,0.73,,
T,49.015200000,8.347140000,104.5,1.1,5.747,8.12,,
T,49.015200000,8.347110000,104.6,1.4,5.749,2.19,,
T,49.015200000,8.347100000,104.6,1.4,5.750,0.73,,
T,49.015200000,8.347020000,104.6,1.4,5.755,5.85,,
T,49.015200000,8.346790000,105.8,7.1,5.772,16.82,,
T,49.015200000,8.346730000,106.3,9.8,5.777,4.39,,
T,49.015210000,8.346610000,107.1,9.6,5.786,8.85,,
T,49.015210000,8.346520000,107.7,8.5,5.792,6.58,,
T,49.015210000,8.346520000,107.7,,5.792,0.00,,
T,49.015220000,8.346420000,108.2,7.6,5.799,7.40,,
T,49.015230000,8.346340000,108.5,5.3,5.805,5.96,,
T,49.015270000,8.346130000,109.0,2.9,5.821,15.99,,
T,49.015280000,8.346060000,109.0,-0.4,5.827,5.24,,
T,49.015300000,8.345970000,108.9,-1.6,5.834,6.95,,
T,49.015310000,8.345950000,108.8,-3.4,5.835,1.84,,
T,49.015350000,8.345730000,107.8,-5.9,5.852,16.70,,
T,49.015420000,8.345520000,106.4,-8.6,5.869,17.22,,
T,49.015500000,8.345380000,105.6,-5.8,5.883,13.57,,
T,49.015550000,8.345310000,105.1,-5.7,5.891,7.56,,
T,49.015580000,8.345290000,105.1,-0.2,5.894,3.64,,
T,49.015610000,8.345260000,105.2,1.7,5.898,3.99,,
T,49.015660000,8.345240000,105.4,3.1,5.904,5.75,,
T,49.015730000,8.345220000,105.6,3.2,5.912,7.92,,
T,49.015750000,8.345220000,105.7,3.2,5.914,2.22,,
T,49.015810000,8.345230000,105.9,3.2,5.921,6.71,,
T,49.015880000,8.345250000,106.2,3.2,5.929,7.92,,
T,49.015940000,8.345300000,106.4,2.4,5.936,7.61,,
T,49.016060000,8.345460000,106.3,-0.4,5.954,17.75,,
T,49.016100000,8.345550000,106.0,-3.3,5.962,7.95,,
T,49.016120000,8.345680000,106.1,0.5,5.972,9.77,,
T,49.016130000,8.345780000,106.1,1.0,5.979,7.40,,
T,49.016130000,8.345900000,106.1,-0.2,5.988,8.78,,
T,49.016110000,8.346010000,106.0,-1.4,5.996,8.35,,
T,49.016070000,8.346120000,106.1,1.3,6.005,9.19,,
T,49.016030000,8.346190000,106.1,-0.4,6.012,6.78,,
T,49.015990000,8.346250000,106.2,1.0,6.018,6.25,,
T,49.015940000,8.346300000,106.4,3.0,6.025,6.66,,
T,49.015870000,8.346340000,106.8,4.9,6.033,8.32,,
T,49.015820000,8.346360000,107.0,5.0,6.039,5.75,,
T,49.015760000,8.346360000,107.3,3.2,6.046,6.67,,
T,49.015680000,8.346350000,107.6,3.2,6.055,8.93,,
T,49.015570000,8.346290000,107.9,3.0,6.068,13.00,,
T,49.015470000,8.346180000,108.2,2.1,6.082,13.73,,
T,49.015380000,8.346070000,108.6,2.7,6.094,12.84,,
T,49.015300000,8.345970000,108.9,2.6,6.106,11.52,,
T,49.015300000,8.345960000,108.9,-0.4,6.107,0.73,,
T,49.015240000,8.345890000,109.4,6.3,6.115,8.41,,
T,49.015210000,8.345850000,109.7,7.3,6.119,4.44,,
T,49.015180000,8.345800000,109.8,1.7,6.124,4.95,,
T,49.015140000,8.345750000,109.9,1.3,6.130,5.76,,
T,49.015050000,8.345590000,109.7,-1.2,6.146,15.40,,
T,49.015040000,8.345570000,109.7,-2.0,6.147,1.84,,
T,49.014970000,8.345460000,109.6,-0.7,6.159,11.20,,
T,49.014960000,8.345430000,109.5,-5.5,6.161,2.46,,
T,49.014890000,8.345290000,108.9,-4.4,6.174,12.86,,
T,49.014790000,8.345100000,108.2,-3.7,6.192,17.80,,
T,49.014710000,8.344950000,107.9,-2.3,6.206,14.13,,
T,49.014600000,8.344680000,107.7,-1.1,6.229,23.23,,
T,49.014580000,8.344640000,107.6,-2.3,6.233,3.68,,
T,49.014430000,8.344340000,107.1,-1.8,6.260,27.57,,
T,49.014370000,8.344200000,107.3,1.8,6.273,12.22,,
T,49.014300000,8.344100000,107.5,2.1,6.283,10.68,,
T,49.014200000,8.343960000,107.9,2.4,6.298,15.12,,
T,49.014060000,8.343790000,107.6,-1.2,6.318,19.93,,
T,49.014020000,8.343740000,107.5,-3.1,6.324,5.76,,
T,49.013950000,8.343680000,107.2,-2.4,6.333,8.94,,
T,49.013750000,8.343510000,106.3,-3.6,6.358,25.48,,
T,49.013700000,8.343470000,106.2,-2.6,6.365,6.28,,
T,49.013230000,8.343110000,106.4,0.5,6.423,58.53,,
T,49.012780000,8.342780000,107.0,1.0,6.479,55.56,,
T,49.012710000,8.342740000,107.4,4.2,6.487,8.32,,
T,49.012580000,8.342660000,108.0,4.2,6.503,15.60,,
T,49.012140000,8.342330000,108.0,-0.1,6.557,54.56,,
T,49.011970000,8.342160000,107.7,-1.3,6.580,22.63,,
T,49.011890000,8.342070000,107.5,-1.9,6.591,11.07,,
T,49.011740000,8.341870000,107.0,-2.0,6.613,22.19,,
T,49.011540000,8.341520000,106.3,-2.2,6.647,33.92,,
T,49.011460000,8.341330000,105.8,-2.8,6.664,16.50,,
T,49.011340000,8.341040000,105.4,-1.7,6.689,25.06,,
T,49.011200000,8.340640000,106.4,3.0,6.722,33.15,,
T,49.011180000,8.340600000,106.5,3.9,6.726,3.68,,
T,49.011000000,8.339960000,105.3,-2.3,6.776,50.92,,
T,49.010990000,8.339930000,105.3,-0.7,6.779,2.46,,
T,49.010930000,8.339760000,105.1,-1.7,6.793,14.11,,
